fl	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity	i
Speaker2.txt	-1.165696351	-1.193204214	-1.130137326	-1.298024797	-1.701989941	1.258489618	0.972759828	-0.379973387	0.316227766	0.593484018	0.971967333	0.512440922	-0.606779876	NA	0.316227766	0.205270784	0.360741985	-2.510077631	-1.4267516	-1.549521941	6.25	0.63428432	-0.402249499	8
Speaker2.txt	-1.546178595	-1.43636055	-1.171664528	-1.313780134	1.317213487	0.290354088	-1.07003581	1.067544276	0.316227766	-0.604243747	-1.08411741	-0.637936658	0.606779876	NA	0.316227766	0.058447114	-0.817394213	0.646678913	-1.214296861	-1.2885258	12.25	0.519393639	0.741927474	9
Speaker2.txt	-0.748283152	-1.122440445	-1.662122643	-1.143936932	-0.058180389	0.290687055	1.329438431	-0.560913094	-2.846049894	1.506645257	1.345800923	-0.219617538	0.202259959	NA	-2.846049894	-0.997553891	-0.326227573	0.869294114	-1.287475715	-1.076841808	20.25	0.738902033	-1.646901303	10
Speaker3.txt	0.384613969	-0.360113639	-1.329379667	-0.462845545	-0.131615836	-0.774546854	-0.099987422	-0.072800026	0.316227766	1.422186806	-0.093081544	-2.364211959	2.410869242	NA	0.316227766	-1.920662907	0.605333592	-1.371020504	-1.661524324	-0.190675675	20.25	1.167827297	-1.736268708	1
Speaker3.txt	0.884351278	2.026699882	1.292414486	2.539126497	-0.849985101	1.161881417	-0.667483602	-0.800800285	0.316227766	-0.438618361	-0.685418639	-0.241246118	0.283631676	NA	0.316227766	-0.602237343	-1.972135951	0.253453045	0.989804042	1.402660596	12.25	-1.263726904	-0.146695158	2
Speaker3.txt	-1.338458679	-0.924874627	1.285907536	-0.595137743	-0.465085738	-0.774628368	-2.045688611	1.175200418	0.316227766	-1.669612548	-2.039332001	-0.241246118	0.106361878	NA	0.316227766	-0.270459632	-0.494428052	-1.485327167	0.876337778	1.030923401	6.25	-0.420929734	1.798064561	3
Speaker3.txt	1.748337619	1.422038937	-0.961541641	-0.302871057	-0.264791087	-0.774628368	-0.613436347	1.487200529	0.316227766	-1.350617376	-0.600799054	1.399227486	-1.311796499	NA	0.316227766	-1.038238419	-0.602855256	-0.397215657	-0.848349433	-0.056953945	2.25	-1.068496123	0.717745123	4
Speaker3.txt	-0.500443602	-0.616338176	-0.097163573	0.554228081	0.664521446	1.807384678	-0.072963795	1.071200381	0.316227766	0.085883315	-0.093081544	-0.241246118	0.283631676	NA	0.316227766	-0.299989585	0.930615205	-0.575270267	0.732613844	0.915635942	0.25	-0.555587391	-0.235934926	5
Speaker3.txt	0.571550252	0.142764514	-0.887543801	-0.278621703	-0.42139841	-0.774628368	0.224296109	-0.2808001	0.316227766	-0.09815236	0.245396797	0.434243013	-0.425447513	NA	0.316227766	0.577223735	-0.073110915	0.664517393	0.112331601	-0.325690083	0.25	0.156711248	0.753269751	6
Speaker3.txt	-0.25184664	-0.48162323	-0.371003503	-0.814184708	0.747566599	-0.774628368	0.521556013	0.343200122	0.316227766	0.010224204	0.499255552	0.723738355	-0.779987108	NA	0.316227766	0.613701913	1.271386419	1.222861482	1.182696691	0.647859629	2.25	-0.883438505	-0.331081811	7
Speaker3.txt	0.606017025	0.311550102	-0.696032181	-0.777784585	1.360723993	-0.129125106	0.656674151	-0.384800137	0.316227766	0.178923574	0.668494722	0.627239908	-0.602717311	NA	0.316227766	0.825622754	1.138175854	0.114966125	-0.526861685	-1.094353239	6.25	0.715551946	0.344587242	8
Speaker3.txt	-1.065825359	-0.743002531	0.94760386	0.408539031	1.219420517	1.161881417	1.764642884	-1.424800507	0.316227766	1.374133046	1.768549329	0.241246118	-0.248177716	NA	0.316227766	1.256412662	-0.525407253	0.020443307	0.339264129	-0.59230603	12.25	1.700084237	-1.167990842	9
Speaker3.txt	-1.038295864	-0.777101232	0.816738482	-0.270448268	-1.859356383	-0.12896208	0.33239062	-1.112800396	-2.846049894	0.4856497	0.330016382	-0.337744566	0.283631676	NA	-2.846049894	0.85862682	-0.277573643	1.552592243	-1.196312642	-1.737100595	20.25	0.452003929	0.004304769	10
Speaker4.txt	0.987762666	-0.038693484	-0.736811487	1.705836654	-0.642980072	1.544173049	0.860281393	-1.41083162	0.316227766	1.494572872	0.840917866	-0.434939047	0.379642087	NA	0.316227766	-1.662861418	1.498296727	-1.966133762	-0.568013772	0.340494093	20.25	-0.658469246	-1.723971935	1
Speaker4.txt	0.956582225	-1.094675634	-1.238700421	-0.588501071	2.238696158	-0.386025377	0.835417769	-0.733632442	0.316227766	1.248975298	0.840917866	-0.171339625	0.126547362	NA	0.316227766	-0.242465237	-0.266937923	0.312432713	0.556114916	0.860678871	12.25	0.446439427	-1.061737964	2
Speaker4.txt	0.713971459	1.034157857	-0.02462728	0.421038716	-0.610842558	0.165337247	1.531599243	-1.41083162	0.316227766	1.022727836	1.528941574	1.41025691	-1.392020984	NA	0.316227766	-0.427180436	-0.645817555	-1.453897888	-1.485478132	-1.620255017	6.25	0.83071063	-0.124318469	3
Speaker4.txt	-0.888882798	1.505875678	1.483307044	0.037701484	-0.709549099	-1.488750625	0.686236024	-0.056433265	0.316227766	0.13113422	0.688023708	1.146657487	-1.13892626	NA	0.316227766	0.719327692	0.086109007	1.150920239	-0.060746787	-0.506917907	2.25	1.76207229	0.984398328	4
Speaker4.txt	-0.647685418	-0.668778956	0.060144614	-0.952433871	-0.521297834	0.441018559	-0.706126924	0.846498972	0.316227766	-1.314170291	-0.688023708	0.619458643	-0.632736811	NA	0.316227766	-0.246711564	0.925671829	-0.359811933	-1.319520415	-1.513441072	0.25	0.84116808	1.556845283	5
Speaker4.txt	-1.316791391	0.897754779	1.522978737	0.932455039	-0.501504457	-1.488750625	-0.358036187	0.169299794	0.316227766	-0.206748503	-0.382235394	-0.434939047	0.379642087	NA	0.316227766	0.356266785	-1.989118069	0.947272711	-0.073271898	-0.305472782	0.25	0.337430268	0.269229437	6
Speaker4.txt	1.363265907	0.14037181	-0.877964088	-0.860959672	1.333461607	-0.661706689	-0.532081555	1.185098561	0.316227766	-0.889956299	-0.535129551	0.224059509	-0.126547362	NA	0.316227766	-0.72866961	0.542486746	0.465168359	-0.442762664	-0.10241067	2.25	-0.30962881	0.937089401	7
Speaker4.txt	0.530131181	-0.466230026	-0.660864287	1.069080536	-0.17980501	0.992381183	-1.103944909	0.620765913	0.316227766	-0.38089951	-1.070259102	-1.621136448	1.645115708	NA	0.316227766	-0.110829119	-0.215272518	0.174243319	0.919343127	1.23333569	6.25	-1.280467449	-0.400206308	8
Speaker4.txt	-1.04183679	0.373451328	0.970990969	-0.464932016	-0.578608443	0.441018559	-1.576353766	1.29796509	0.316227766	-1.195092679	-1.605388653	-1.357537025	1.392020984	NA	0.316227766	0.171551587	0.774981066	0.535821583	0.844192463	0.953965973	12.25	-1.179894555	0.15946107	9
Speaker4.txt	-0.656517041	-1.683233355	-0.498453802	-1.299285799	0.172429708	0.441304721	0.363008912	-0.507899383	-2.846049894	0.089457056	0.382235394	0.619458643	-0.632736811	NA	-2.846049894	2.171571321	-0.71039931	0.193984661	1.630143161	0.660022822	20.25	-0.789360636	-0.596788842	10
Speaker5.txt	-2.36330706	-2.17481655	2.64425898	0.587916272	0.124249306	-1.476146213	-0.54643206	-0.790856613	0.316227766	0.873545346	-0.541759569	-1.443807444	1.461396969	NA	0.316227766	-0.927721581	-0.332767513	-0.581012974	-0.318432349	0.239302331	20.25	-0.720257117	-1.414379752	1
Speaker5.txt	-0.598507528	-0.504181818	0.334472925	0.209781434	-0.993820564	0.07754494	0.181373855	0.281491337	0.316227766	-0.283261304	0.187532158	0.525020889	-0.543174095	NA	0.316227766	1.24421296	-0.184084156	0.210273275	-0.042096085	-0.908698837	12.25	0.566692449	0.574255458	2
Speaker5.txt	-0.234503963	-0.245082421	-0.02553536	1.096490879	-0.938845812	-0.69966261	-0.095885541	-0.924900107	0.316227766	0.595286449	-0.090293261	-0.641692197	0.556106811	NA	0.316227766	0.076881169	-1.408951811	-1.478741281	0.415020912	0.536571549	6.25	0.087150032	-0.38528015	3
Speaker5.txt	0.656535355	1.089926078	-0.130990982	1.062688811	0.055165242	0.07754494	1.059361944	0.415534831	0.316227766	0.920442912	1.055736596	0.634400241	-0.607837677	NA	0.316227766	-0.985839096	-0.541632229	2.234680732	-0.925339097	-0.599950846	2.25	0.478862429	-0.367751272	4
Speaker5.txt	0.017179976	0.187513188	-0.006587783	-0.799319133	1.389933187	-1.476870159	0.909179771	-1.863204563	0.316227766	1.23465661	0.916823886	0.160423049	-0.219856181	NA	0.316227766	-0.6022635	0.548712389	-0.613146425	0.066372355	0.54921034	0.25	-1.697615727	-1.501013125	5
Speaker5.txt	0.138083175	-0.432207604	-0.76085813	-1.43592909	-0.312441905	0.854752489	0.331556028	1.487882781	0.316227766	-0.126936081	0.326444868	0.597940457	-0.607837677	NA	0.316227766	-1.093771622	1.037243419	-0.631221492	-1.266239909	-1.019293442	0.25	-1.362862187	-0.663655669	6
Speaker5.txt	1.313351514	1.464267684	-0.652303682	-0.5855066	0.825464041	0.07754494	1.105571843	0.817665312	0.316227766	0.251370958	1.090464773	1.290676352	-1.189809921	NA	0.316227766	-0.623850005	-0.187624236	-0.203444916	-1.390203841	-1.527238226	2.25	1.350075528	0.640823782	7
Speaker5.txt	-0.166441747	-0.217514153	-0.107552991	-1.383587889	-1.68860605	1.631960038	0.21603128	0.683621818	0.316227766	-0.323124236	0.222260336	0.597940457	-0.607837677	NA	0.316227766	0.568389292	1.706318525	0.756541954	0.828234018	0.749710177	6.25	1.102656238	1.181634257	8
Speaker5.txt	0.746752252	0.480936213	-0.75655815	0.102808123	1.197225818	0.07754494	-1.990491417	-0.522769626	0.316227766	-1.176659953	-2.000343024	-1.844865068	1.914042048	NA	0.316227766	0.626506806	0.693855666	0.11588126	1.613338917	1.788025371	12.25	0.348913051	1.047880557	9
Speaker5.txt	0.490858027	0.351159384	-0.538344825	1.144657192	0.341676737	0.855786697	-1.170265702	0.415534831	-2.846049894	-1.965320702	-1.166866764	0.123963265	-0.155192598	NA	-2.846049894	1.717455578	-1.331070053	0.190189867	1.019345079	0.192361583	20.25	-0.153614697	0.887485915	10
Speaker6.txt	2.021401256	2.37388271	-0.274041281	-0.12464082	-0.254477893	0.523686146	-2.467183337	0.466551483	-0.316227766	-1.557278381	-2.463001745	-1.955910018	1.987635687	NA	-0.316227766	0.213782557	-1.677742302	1.42900693	0.834547572	0.905139752	20.25	-2.386260156	-0.441342464	1
Speaker6.txt	0.97803209	0.623112927	-0.754693033	-0.029361665	-1.557264087	-1.719547096	0.376441804	-1.399654449	-0.316227766	1.490215272	0.376383645	-0.331624882	0.272417074	NA	-0.316227766	0.07658255	-1.20680464	1.42364624	1.374058338	1.545870174	12.25	-0.169970259	-0.464112169	2
