fl	i	mean.bodyw.	sd.bodyw.	sd.bodyw..mean.bodyw.	max.bodyw.	min.bodyw.	sRate	nsyll	npause	dur..s.	phonationtime..s.	speechrate..nsyll.dur.	articulation.rate..nsyll...phonationtime.	ASD..speakingtime.nsyll.	tmin	tmax	f0mean	fmin	fmax	f0stdev	CoefVarF0	isq	meanIntensity	sdIntensity
Speaker3.txt	3	0.266333728	0.275232822	1.03341332	3.048864127	0.008333996	0.189393939	1015	103	316.9	233.75	3.2	4.34	0.23	0	316.9	172.16	65.65	418.01	64.08	0.372211896	6.25	73.25885268	10.74300467
Speaker3.txt	4	0.407985144	0.359179703	0.880374466	3.407400125	0.00907958	0.189393939	1068	106	316.9	236.87	3.37	4.51	0.222	0	316.9	167.74	65.3	422.96	59.52	0.354834863	2.25	73.03368795	10.47285611
Speaker3.txt	5	0.304789787	0.286268879	0.93923383	4.458840163	0.012538886	0.946969697	1088	102	316.9	250.92	3.43	4.34	0.231	0	316.9	171.99	70.25	422.15	63.7	0.37037037	0.25	73.21203099	10.23437546
Speaker3.txt	6	0.353983007	0.313421265	0.885413309	3.437147841	0.008496619	0.189393939	1099	89	316.9	249.12	3.47	4.41	0.227	0	316.9	177.04	67.01	427.79	62.06	0.35054225	0.25	73.45970371	10.48173953
Speaker3.txt	7	0.316197768	0.291087506	0.920586846	2.78014988	0.012848017	0.189393939	1110	95	316.9	250.18	3.5	4.44	0.225	0	316.9	177.25	71.35	430.33	64.89	0.366093089	2.25	73.09803417	10.21058268
Speaker3.txt	8	0.355564668	0.319458566	0.898454191	2.824803463	0.015130456	0.378787879	1115	88	316.9	251.83	3.52	4.43	0.226	0	316.9	178.47	70.92	425.29	60.37	0.338264134	6.25	73.65401771	10.37954291
Speaker3.txt	9	0.278844724	0.281738215	1.010376711	4.280117197	0.014604463	0.757575758	1156	78	316.9	263.52	3.65	4.39	0.228	0	316.9	180.95	65.55	424.86	62.66	0.346283504	12.25	73.99634855	10.00130221
Speaker3.txt	10	0.280108037	0.280518537	1.001465503	3.447174543	0.003143912	0.378835712	1103	81	316.71	254.83	3.48	4.33	0.231	0	316.708005	178.66	66.35	431.83	58.6	0.327997313	20.25	73.56237966	10.29445066
Speaker4.txt	1	0.41424729	0.338331576	0.816738176	3.964542915	0.000686995	2.33553912	1274	49	308.3	287.04	4.13	4.44	0.225	0	308.3	139.53	71.7	399.83	47.53	0.340643589	20.25	77.75037511	7.762006731
Speaker4.txt	2	0.413334707	0.31830225	0.770083529	3.085642366	0.030422043	0.973015049	1273	55	308.3	285.39	4.13	4.46	0.224	0	308.3	146.22	67.6	421.76	51.12	0.349610176	12.25	78.24325719	7.894636324
